Date	Type	Description	Check Number	Debit/Credit	Balance
08/27/2018	ATM Deposit	DEPOSIT AT ATM               08/25/18 - WEBSTER BANK N. A. MIDDLEBURY CT		$505.67	$814.24
08/27/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/25/18 - AMZN Mktp US Amzn.com/bil WA		($24.45)	$789.79
08/27/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/25/18 - VZWRLSS*APOCC VISN 800-922-0204 FL		($190.10)	$599.69
08/27/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/25/18 - NETGEAR INC 408-890-3088 CA		($5.72)	$593.97
08/27/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   5C2ND6		($8.21)	$585.76
08/27/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   5S4QD6		($5.00)	$580.76
08/27/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  -yHs6W_daQ-1lSs                 		($26.33)	$554.43
08/28/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/27/18 - REGIONAL SCHOOL DI MYSCHOOLBUCK CT		($62.49)	$491.94
08/28/2018	PIN Purchase	CHECK CARD PIN PURCHASE      08/28/18 - STOP & SHOP 0657 WATERTOWN CT		($157.99)	$333.95
08/28/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/28/18 - Kindle Unltd 866-321-8851 WA		($10.09)	$323.86
08/28/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  -kUR5qyjT7bke8A                 		($1.49)	$322.37
08/28/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   Q73JF6		($10.41)	$311.96
08/29/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/28/18 - STP&SHPFUEL0604 NAUGATUCK CT		($32.93)	$279.03
08/29/2018	Other Debit	ACH WITHDRAWAL - Digit.co         Rainy Day  bJf7F6hs67ZkezQ                 		($22.19)	$256.84
08/30/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/29/18 - LIGHTBOX RACE REGI 603-769-0962 MA		($34.85)	$221.99
08/30/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/29/18 - POMPERAUG LACROSSE POMPERAUGLAC CT		($50.00)	$171.99
08/30/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/30/18 - US LACROSSE, INC 410-235-6882 MD		($30.00)	$141.99
08/31/2018	ATM Deposit	DEPOSIT AT ATM               08/31/18 - WEBSTER BANK N. A. MIDDLEBURY CT		$505.68	$647.67
08/31/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE08/30/18 - HOLLYWOOD NAILS WATERTOWN CT		($27.65)	$620.02
08/31/2018	ATM Withdrawal	WITHDRAWAL AT ATM            08/31/18 - WEBSTER BANK N. A. MIDDLEBURY CT		($40.00)	$580.02
08/31/2018	PIN Purchase	CHECK CARD PIN PURCHASE      08/31/18 - BJS WHOLESALE #0 344 R WATERBURY CT		($140.57)	$439.45
08/31/2018	Online Payment	WEBSTER ONLINE PAYMENT WITHDRAWAL - Northwestern Mutual Life Ins		($236.09)	$203.36
08/31/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   5G9MG6		($6.74)	$196.62
09/04/2018	Other Credit	FUNDING DEPOSIT - OVERDRAFT PROTECTION FROM 00000000080059758                 		$18.47	$215.09
09/04/2018	Other Credit	WEBSTER ONLINE TRANSFER DEPOSIT - TFR FR CK 0016317345		$75.00	$290.09
09/04/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/01/18 - SPREZZABOX HTTPSWWW.SPR NY		($28.00)	$262.09
09/04/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/01/18 - SALSA FRESCA MEXIC NEW HAVEN CT		($21.16)	$240.93
09/04/2018	PIN Purchase	CHECK CARD PIN PURCHASE      09/02/18 - STOP & SHOP 0657 WATERTOWN CT		($33.99)	$206.94
09/04/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/03/18 - Prime Video 888-802-3080 WA		($5.04)	$201.90
09/04/2018	Other Debit	ACH WITHDRAWAL - Acorns Investing Transfer   4H0CH6		($9.90)	$192.00
09/04/2018	Other Debit	ACH WITHDRAWAL - Subscription     Acorns     M5MKH6		($1.00)	$191.00
09/04/2018	Service Charge	OVERDRAFT TRANSFER FEE		($6.00)	$185.00
09/04/2018	Service Charge	FEE-INSUFF AVAIL FUNDS ITEM PAID - DSS EXCEPTION		($37.00)	$148.00
09/04/2018	Service Charge	FEE-INSUFF AVAIL FUNDS ITEM PAID - DSS EXCEPTION		($37.00)	$111.00
09/05/2018	Other Credit	FUNDING DEPOSIT - OVERDRAFT PROTECTION FROM 00000000080059758                 		$37.20	$148.20
09/05/2018	Check Card Purchase	CHECK CARD SIGNATURE PURCHASE09/04/18 - STP&SHPFUEL0604 NAUGATUCK CT		($28.21)	$119.99
